Domain Model env_id run task steps success_rate reward
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 10000 0.12 -26.029000000000025
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 20000 0.33 -16.974
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 30000 0.67 -8.917999999999987
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 40000 0.83 -4.8009999999999895
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 50000 0.97 0.06600000000000182
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 60000 0.97 0.5189999999999996
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 70000 1.0 1.15
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 80000 0.99 0.943
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 90000 1.0 1.1360000000000001
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 100000 0.99 0.938
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 110000 1.0 1.1469999999999998
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 120000 0.99 0.9289999999999998
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 130000 1.0 1.185
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 140000 1.0 1.1
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 150000 1.0 1.124
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 160000 1.0 1.1050000000000002
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 170000 1.0 1.135
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 180000 1.0 1.111
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 190000 1.0 1.1560000000000001
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 200000 1.0 1.165
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 210000 1.0 1.1400000000000001
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 220000 1.0 1.1860000000000002
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 230000 1.0 1.277
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 240000 1.0 1.206
BoxWorld RePReL+T BoxWorld_RePReL_task2-v1 run1 task0 250000 1.0 1.183
