Domain Model env_id run task steps success_rate reward
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 10000 0.32 -22.02800000000005
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 20000 0.27 -24.54400000000003
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 30000 0.32 -23.10800000000002
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 40000 0.46 -19.850000000000016
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 50000 0.29 -24.239000000000004
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 60000 0.38 -24.48199999999998
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 70000 0.31 -25.96099999999999
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 80000 0.27 -26.133999999999993
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 90000 0.24 -24.192000000000004
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 100000 0.27 -23.010999999999996
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 110000 0.33 -23.431999999999995
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 120000 0.28 -23.938999999999993
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 130000 0.27 -22.722999999999985
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 140000 0.22 -22.255999999999993
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 150000 0.24 -22.02699999999999
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 160000 0.25 -23.364999999999977
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 170000 0.27 -25.76499999999997
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 180000 0.34 -21.087999999999987
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 190000 0.29 -22.726999999999975
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 200000 0.36 -20.474999999999977
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 210000 0.36 -22.56699999999996
BoxWorld trl+T BoxWorld_taskable_task2-v1 run3 task0 220000 0.32 -20.419999999999987
