Domain Model env_id run task steps success_rate reward
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 10000 0.16 -23.206000000000053
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 20000 0.21 -23.04100000000005
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 30000 0.06 -26.663000000000046
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 40000 0.13 -24.68000000000005
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 50000 0.11 -26.14500000000006
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 60000 0.15 -24.759000000000032
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 70000 0.09 -25.569000000000045
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 80000 0.15 -27.751000000000026
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 90000 0.11 -26.79700000000003
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 100000 0.13 -25.79900000000003
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 110000 0.1 -29.574
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 120000 0.08 -26.40400000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 130000 0.1 -28.11400000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 140000 0.11 -27.819000000000013
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 150000 0.04 -30.91600000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 160000 0.09 -29.907000000000004
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 170000 0.08 -28.579
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 180000 0.06 -28.307000000000006
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 190000 0.13 -24.790000000000013
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 200000 0.11 -24.993000000000023
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 210000 0.1 -26.97700000000001
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 220000 0.13 -25.818000000000016
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 230000 0.1 -25.29600000000002
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 240000 0.12 -26.62099999999999
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 250000 0.12 -25.815000000000012
BoxWorld trl BoxWorld_taskable_task5-v1 run4 task1 260000 0.08 -27.116000000000007
