Domain Model env_id run task steps success_rate reward
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 10000 0.07 -29.907999999999983
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 20000 0.02 -39.804999999999914
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 30000 0.08 -23.820999999999984
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 40000 0.15 -31.463999999999942
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 50000 0.2 -16.928000000000008
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 60000 0.39 -16.65299999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 70000 0.59 -12.55699999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 80000 0.66 -13.924999999999965
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 90000 0.58 -11.538999999999989
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 100000 0.8 -6.261999999999988
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 110000 0.82 -6.015999999999987
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 120000 0.85 -3.4839999999999987
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 130000 0.8 -3.008000000000006
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 140000 0.89 -1.2909999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 150000 0.87 -1.894000000000001
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 160000 0.92 -0.5709999999999991
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 170000 0.85 -2.4199999999999973
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 180000 0.88 -1.4539999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 190000 0.87 -1.6889999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 200000 0.85 -3.443999999999995
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 210000 0.9 -0.787000000000002
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 220000 0.87 -2.0779999999999976
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 230000 0.89 -1.3590000000000007
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 240000 0.87 -2.0519999999999983
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 250000 0.89 -1.4560000000000002
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 260000 0.88 -1.3769999999999998
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 270000 0.85 -1.6820000000000028
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 280000 0.88 -2.2209999999999948
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 290000 0.89 -1.2229999999999999
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 300000 0.86 -2.785999999999997
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 310000 0.9 -0.9849999999999993
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 320000 0.87 -1.855000000000002
BoxWorld RePReL BoxWorld_RePReL_task5-v1 run5 task1 330000 0.92 -0.9909999999999978
